wl,k
4.23E-01,0.002543
4.27E-01,0.002516
4.31E-01,0.002489
4.36E-01,0.002463
4.40E-01,0.002437
4.44E-01,0.002411
4.49E-01,0.002385
4.53E-01,0.00236
4.58E-01,0.002335
4.62E-01,0.002311
4.67E-01,0.002286
4.72E-01,0.002262
4.76E-01,0.002238
4.81E-01,0.002215
4.86E-01,0.002192
4.91E-01,0.002169
4.96E-01,0.002146
5.01E-01,0.002123
5.06E-01,0.002101
5.11E-01,0.002079
5.16E-01,0.002058
5.21E-01,0.002036
5.26E-01,0.002015
5.31E-01,0.001994
5.37E-01,0.001973
5.42E-01,0.001953
5.48E-01,0.001933
5.53E-01,0.001913
5.59E-01,0.001893
5.64E-01,0.001873
5.70E-01,0.001854
5.75E-01,0.001835
5.81E-01,0.001816
5.87E-01,0.001797
5.93E-01,0.001779
5.99E-01,0.001761
6.05E-01,0.001742
6.11E-01,0.001725
6.17E-01,0.001707
6.23E-01,0.001689
6.29E-01,0.001672
6.36E-01,0.001655
6.42E-01,0.001638
6.48E-01,0.001621
6.55E-01,0.001605
6.61E-01,0.001588
6.68E-01,0.001572
6.75E-01,0.001556
6.82E-01,0.00154
6.88E-01,0.001524
6.95E-01,0.001509
7.02E-01,0.001494
7.09E-01,0.001478
7.16E-01,0.001463
7.23E-01,0.001448
7.31E-01,0.001434
7.38E-01,0.001419
7.45E-01,0.001405
7.53E-01,0.00139
7.60E-01,0.001376
7.68E-01,0.001362
7.76E-01,0.001349
7.83E-01,0.001335
7.91E-01,0.001322
7.99E-01,0.001308
8.07E-01,0.001295
8.15E-01,0.001282
8.23E-01,0.001269
8.32E-01,0.001256
8.40E-01,0.001243
8.48E-01,0.001231
8.57E-01,0.001218
8.65E-01,0.001206
8.74E-01,0.001194
8.83E-01,0.001182
8.92E-01,0.00117
9.00E-01,0.001158
9.09E-01,0.001147
9.19E-01,0.001135
9.28E-01,0.001124
9.37E-01,0.001112
9.46E-01,0.001101
9.56E-01,0.00109
9.65E-01,0.001079
9.75E-01,0.001068
9.85E-01,0.001058
9.95E-01,0.001047
1.00E+00,0.001036
1.01E+00,0.001026
1.02E+00,0.001016
1.04E+00,0.001006
1.05E+00,0.000996
1.06E+00,0.000986
1.07E+00,0.000976
1.08E+00,0.000966
1.09E+00,0.000956
1.10E+00,0.000947
1.11E+00,0.000937
1.12E+00,0.000928
1.13E+00,0.000919
1.14E+00,0.000909
1.15E+00,0.0009
1.17E+00,0.000891
1.18E+00,0.000882
1.19E+00,0.000874
1.20E+00,0.000865
1.21E+00,0.000856
1.23E+00,0.000848
1.24E+00,0.000839
1.25E+00,0.000831
1.26E+00,0.000822
1.28E+00,0.000814
1.29E+00,0.000806
1.30E+00,0.000798
1.31E+00,0.00079
1.33E+00,0.000782
1.34E+00,0.000774
1.35E+00,0.000767
1.37E+00,0.000759
1.38E+00,0.000751
1.40E+00,0.000744
1.41E+00,0.000737
1.42E+00,0.000729
1.44E+00,0.000722
1.45E+00,0.000715
1.47E+00,0.000708
1.48E+00,0.000701
1.50E+00,0.000694
1.51E+00,0.000687
