0.611,1.473331
0.612,1.473293
0.613,1.473255
0.614,1.473217
0.615,1.47318
0.616,1.473142
0.617,1.473105
0.618,1.473068
0.619,1.473031
0.62,1.472994
0.621,1.472958
0.622,1.472921
0.623,1.472885
0.624,1.472849
0.625,1.472813
0.626,1.472778
0.627,1.472742
0.628,1.472707
0.629,1.472672
0.63,1.472637
0.631,1.472602
0.632,1.472567
0.633,1.472533
0.634,1.472499
0.635,1.472464
0.636,1.47243
0.637,1.472397
0.638,1.472363
0.639,1.472329
0.64,1.472296
0.641,1.472263
0.642,1.47223
0.643,1.472197
0.644,1.472164
0.645,1.472132
0.646,1.472099
0.647,1.472067
0.648,1.472035
0.649,1.472003
0.65,1.471971
0.651,1.471939
0.652,1.471908
0.653,1.471876
0.654,1.471845
0.655,1.471814
0.656,1.471783
0.657,1.471752
0.658,1.471721
0.659,1.471691
0.66,1.47166
0.661,1.47163
0.662,1.4716
0.663,1.47157
0.664,1.47154
0.665,1.47151
0.666,1.471481
0.667,1.471451
0.668,1.471422
0.669,1.471393
0.67,1.471364
0.671,1.471335
0.672,1.471306
0.673,1.471277
0.674,1.471249
0.675,1.47122
0.676,1.471192
0.677,1.471164
0.678,1.471136
0.679,1.471108
0.68,1.47108
0.681,1.471052
0.682,1.471025
0.683,1.470997
0.684,1.47097
0.685,1.470943
0.686,1.470916
0.687,1.470889
0.688,1.470862
0.689,1.470835
0.69,1.470808
0.691,1.470782
0.692,1.470756
0.693,1.470729
0.694,1.470703
0.695,1.470677
0.696,1.470651
0.697,1.470625
0.698,1.4706
0.699,1.470574
0.7,1.470549
0.701,1.470523
0.702,1.470498
0.703,1.470473
0.704,1.470448
0.705,1.470423
0.706,1.470398
0.707,1.470373
0.708,1.470348
0.709,1.470324
0.71,1.470299
0.711,1.470275
0.712,1.470251
0.713,1.470227
0.714,1.470203
0.715,1.470179
0.716,1.470155
0.717,1.470131
0.718,1.470108
0.719,1.470084
0.72,1.470061
0.721,1.470037
0.722,1.470014
0.723,1.469991
0.724,1.469968
0.725,1.469945
0.726,1.469922
0.727,1.4699
0.728,1.469877
0.729,1.469854
0.73,1.469832
0.731,1.469809
0.732,1.469787
0.733,1.469765
0.734,1.469743
0.735,1.469721
0.736,1.469699
0.737,1.469677
0.738,1.469655
0.739,1.469634
0.74,1.469612
0.741,1.469591
0.742,1.469569
0.743,1.469548
0.744,1.469527
0.745,1.469505
0.746,1.469484
0.747,1.469463
0.748,1.469443
0.749,1.469422
0.75,1.469401
0.751,1.46938
0.752,1.46936
0.753,1.469339
0.754,1.469319
0.755,1.469299
0.756,1.469278
0.757,1.469258
0.758,1.469238
0.759,1.469218
0.76,1.469198
0.761,1.469178
0.762,1.469159
0.763,1.469139
0.764,1.469119
0.765,1.4691
0.766,1.46908
0.767,1.469061
0.768,1.469042
0.769,1.469023
0.77,1.469003
0.771,1.468984
0.772,1.468965
0.773,1.468946
0.774,1.468928
0.775,1.468909
0.776,1.46889
0.777,1.468871
0.778,1.468853
0.779,1.468834
0.78,1.468816
0.781,1.468798
0.782,1.468779
0.783,1.468761
0.784,1.468743
0.785,1.468725
0.786,1.468707
0.787,1.468689
0.788,1.468671
0.789,1.468653
0.79,1.468636
0.791,1.468618
0.792,1.4686
0.793,1.468583
0.794,1.468565
0.795,1.468548
0.796,1.468531
0.797,1.468513
0.798,1.468496
0.799,1.468479
0.8,1.468462
0.801,1.468445
0.802,1.468428
0.803,1.468411
0.804,1.468394
0.805,1.468377
0.806,1.468361
0.807,1.468344
0.808,1.468328
0.809,1.468311
0.81,1.468295
0.811,1.468278
0.812,1.468262
0.813,1.468246
0.814,1.468229
0.815,1.468213
0.816,1.468197
0.817,1.468181
0.818,1.468165
0.819,1.468149
0.82,1.468133
0.821,1.468118
0.822,1.468102
0.823,1.468086
0.824,1.468071
0.825,1.468055
0.826,1.46804
0.827,1.468024
0.828,1.468009
0.829,1.467993
0.83,1.467978
0.831,1.467963
0.832,1.467948
0.833,1.467933
0.834,1.467917
0.835,1.467902
0.836,1.467887
0.837,1.467873
0.838,1.467858
0.839,1.467843
0.84,1.467828
0.841,1.467813
0.842,1.467799
0.843,1.467784
0.844,1.46777
0.845,1.467755
0.846,1.467741
0.847,1.467726
0.848,1.467712
0.849,1.467698
0.85,1.467684
0.851,1.467669
0.852,1.467655
0.853,1.467641
0.854,1.467627
0.855,1.467613
0.856,1.467599
0.857,1.467585
0.858,1.467571
0.859,1.467558
0.86,1.467544
0.861,1.46753
0.862,1.467517
0.863,1.467503
0.864,1.467489
0.865,1.467476
0.866,1.467462
0.867,1.467449
0.868,1.467436
0.869,1.467422
0.87,1.467409
0.871,1.467396
0.872,1.467383
0.873,1.46737
0.874,1.467356
0.875,1.467343
0.876,1.46733
0.877,1.467317
0.878,1.467305
0.879,1.467292
0.88,1.467279
0.881,1.467266
0.882,1.467253
0.883,1.467241
0.884,1.467228
0.885,1.467215
0.886,1.467203
0.887,1.46719
0.888,1.467178
0.889,1.467165
